Postcode,Apr 2011 - Mar 2012,Apr 2012 - Mar 2013,Apr 2013 - Mar 2014,Apr 2014 - Mar 2015,Apr 2015 - Mar 2016,% change 2015 - 2016
3647,0,0,2,2,0,-1
3649,13,20,15,22,26,0.181818182
3658,235,263,292,421,510,0.211401425
3659,296,46,58,56,73,0.303571429
3660,1044,969,904,1132,1513,0.336572438
3662,19,20,92,16,14,-0.125
3663,8,21,10,3,15,4
3664,35,43,84,51,69,0.352941176
3665,24,14,32,16,13,-0.1875
3666,168,203,219,186,164,-0.11827957
3669,51,69,55,46,70,0.52173913
3670,20,39,23,38,133,2.5
3672,815,861,1059,1026,1333,0.299220273
3673,48,39,23,33,44,0.333333333
3675,70,70,95,68,83,0.220588235
3677,2037,2060,2206,2159,2259,0.04631774
3678,90,91,93,79,168,1.126582278
3682,18,18,77,38,41,0.078947368
3683,100,61,72,60,63,0.05
3685,98,99,100,108,130,0.203703704
3687,29,46,28,26,29,0.115384615
3688,75,33,65,56,54,-0.035714286
3690,3032,2905,2853,3107,3366,0.083360154
3691,181,203,164,202,199,-0.014851485
3695,15,3,5,7,17,1.428571429
3697,15,7,7,15,3,-0.8
3698,9,6,5,3,12,3
3699,34,54,41,84,45,-0.464285714
3700,54,49,83,38,92,1.421052632
3701,34,13,35,22,23,0.045454545
3704,0,1,0,4,12,2
3705,3,8,2,6,4,-0.333333333
3707,126,104,139,66,60,-0.090909091
3708,0,1,0,1,1,0
3709,11,10,14,14,10,-0.285714286
3711,13,4,44,15,14,-0.066666667
3712,17,14,18,14,7,-0.5
3713,119,85,79,78,86,0.102564103
3714,154,143,180,207,178,-0.140096618
3715,7,9,16,19,17,-0.105263158
3717,114,129,171,121,191,0.578512397
3718,10,13,12,11,9,-0.181818182
3719,3,17,19,19,14,-0.263157895
3720,43,46,49,28,33,0.178571429
3722,226,179,311,309,379,0.226537217
3723,122,139,100,156,153,-0.019230769
3724,1,0,0,0,4,-
3725,13,11,9,14,12,-0.142857143
3726,6,8,18,24,12,-0.5
3727,4,5,14,21,15,-0.285714286
3728,16,16,23,35,34,-0.028571429
3730,348,388,333,326,392,0.202453988
3732,13,10,10,20,39,0.95
3733,1,7,8,1,7,6
3735,3,2,12,13,17,0.307692308
3737,238,203,242,219,262,0.196347032
3738,3,5,4,6,3,-0.5
3739,0,5,7,1,5,4
3740,25,14,22,79,32,-0.594936709
3741,119,125,144,156,94,-0.397435897
3744,8,8,5,8,6,-0.25
3746,14,15,15,14,34,1.428571429
3747,131,136,183,131,161,0.229007634
3749,34,33,51,24,29,0.208333333
3750,237,234,269,334,498,0.491017964
3751,14,21,9,12,9,-0.25
3752,941,1249,1390,1301,1291,-0.007686395
3753,73,67,102,138,203,0.471014493
3754,1052,1296,1486,1850,2099,0.134594595
3755,16,16,18,18,22,0.222222222
3756,494,582,820,997,1223,0.22668004
3757,305,405,399,422,589,0.395734597
3758,83,84,96,92,202,1.195652174
3759,20,19,56,18,15,-0.166666667
3760,0,3,13,5,1,-0.8
3761,22,20,28,25,32,0.28
3762,5,10,13,19,7,-0.631578947
3763,71,67,69,54,101,0.87037037
3764,335,456,640,545,641,0.176146789
3765,230,222,205,304,287,-0.055921053
3766,30,19,32,22,10,-0.545454545
3767,29,40,37,60,50,-0.166666667
3770,86,108,102,85,147,0.729411765
3775,91,109,124,93,137,0.47311828
3777,381,363,362,434,410,-0.055299539
3778,11,41,10,11,13,0.181818182
3779,26,31,13,21,23,0.095238095
3781,145,169,258,218,193,-0.114678899
3782,295,282,350,366,296,-0.191256831
3783,86,103,114,63,96,0.523809524
3785,7,8,9,16,10,-0.375
3786,48,24,39,48,41,-0.145833333
3787,21,27,28,20,26,0.3
3788,99,63,84,74,87,0.175675676
3789,12,1,14,5,5,0
3791,31,31,52,19,31,0.631578947
3792,20,130,27,21,24,0.142857143
3793,153,125,196,150,131,-0.126666667
3795,42,37,41,21,39,0.857142857
3796,271,277,270,278,374,0.345323741
3797,143,180,173,184,151,-0.179347826
3799,227,197,225,255,256,0.003921569
3802,1183,1064,1463,1137,1647,0.448548813
3803,802,818,989,995,1100,0.105527638
3804,222,228,225,279,421,0.508960573
3805,3723,3420,3531,4082,4686,0.147966683
3806,1720,1989,1813,2288,2607,0.139423077
3807,279,409,342,324,458,0.413580247
3808,140,61,53,74,126,0.702702703
3809,229,346,349,378,577,0.526455026
3810,2808,3106,3900,3704,5192,0.401727862
3812,89,60,107,61,57,-0.06557377
3813,25,41,38,33,26,-0.212121212
3814,39,85,262,74,114,0.540540541
3815,93,111,112,111,142,0.279279279
3816,119,116,189,210,279,0.328571429
3818,580,692,860,1155,1209,0.046753247
3820,972,1209,1205,1345,1462,0.086988848
3821,47,98,53,140,132,-0.057142857
3822,26,32,35,24,29,0.208333333
3823,91,84,99,75,117,0.56
3824,239,256,810,268,340,0.268656716
3825,2194,2702,2867,3154,3885,0.231769182
3831,33,73,70,74,45,-0.391891892
3833,53,48,58,31,64,1.064516129
3835,25,51,44,5,53,9.6
3840,3146,3416,3426,4522,4504,-0.00398054
3842,640,539,548,650,521,-0.198461538
3844,2839,3372,3689,4096,4556,0.112304688
3847,157,149,123,144,215,0.493055556
3850,1631,2087,2430,2207,2640,0.196193928
3851,364,411,439,492,484,-0.016260163
3852,0,0,0,1,0,-1
3854,21,42,49,39,38,-0.025641026
3856,15,29,18,24,21,-0.125
3857,16,17,7,7,10,0.428571429
3858,175,243,526,202,270,0.336633663
3859,27,34,25,37,42,0.135135135
3860,427,400,396,404,635,0.571782178
3862,88,86,124,142,169,0.190140845
3864,13,9,12,25,30,0.2
3865,12,3,20,13,15,0.153846154
3869,71,45,83,96,53,-0.447916667
3870,27,77,58,34,51,0.5
3871,98,131,105,179,130,-0.273743017
3873,10,11,27,51,7,-0.862745098
3874,50,45,34,69,48,-0.304347826
3875,1471,1737,2065,2092,2380,0.137667304
3878,14,17,19,44,31,-0.295454545
3880,106,116,111,123,189,0.536585366
