SUBURB,Oct - Dec 14,Jan - Mar 15,Apr - Jun 15,Jul - Sep 15,Oct - Dec 15,No of sales Oct - Dec 15,No of Sales 2015,Oct - Dec 14 - Oct - Dec 15,Jul - Sep 15 - Oct - Dec 15
CALIFORNIA GULLY,278800,261000,250000,253000,276300,18,80,-0.9,9.2
CAMBERWELL,1742500,1810000,2085000,2005000,1805000,75,314,3.6,-10
CAMPBELLFIELD,370000,355000,375000,371800,395000,9,64,6.8,6.3
CAMPBELLS CREEK,342500,393000,435000,320000,415000,7,27,21.2,29.7
CAMPERDOWN,180000,220000,220000,212500,192000,19,76,6.7,-9.6
CANADIAN,342500,350000,290000,328000,341000,19,66,-0.4,4
CANTERBURY,2200500,2400000,2735000,2520000,2400000,27,131,9.1,-4.8
CAPE PATERSON,341800,350000,372700,372000,316000,12,44,-7.5,-15.1
CAPE SCHANCK,440000,655000,895000,1007500,542500,5,20,NA,-46.2
CARDIGAN VILLAGE,250000,337500,462500,462500,393500,2,7,57.4,NA
CARISBROOK,258000,187500,245000,208800,200000,7,23,-22.5,-4.2
CARLTON,1230000,1130000,1215000,1137500,1159000,16,66,-5.8,1.9
CARLTON NORTH,1245000,970000,1250000,1341000,1195000,32,78,-4,-10.9
CARNEGIE,1117000,1190000,1205000,1285000,1315000,32,119,17.7,2.3
CAROLINE SPRINGS,475000,450000,481300,492000,503500,104,439,6,2.3
CARRUM,507500,565000,612000,627500,630500,13,49,24.2,0.5
CARRUM DOWNS,343800,355000,369000,382500,363800,63,308,5.8,-4.9
CASTERTON,127500,87500,119000,97500,107500,4,26,-15.7,10.3
CASTLEMAINE,396300,352000,371500,380000,395000,37,154,-0.3,3.9
CAULFIELD,1325000,1417500,1750000,1670000,1711000,21,61,29.1,2.5
CAULFIELD EAST,1060500,1090000,962500,1165000,1165000,0,11,NA,NA
CAULFIELD NORTH,1660000,1740000,1944400,1915000,1780000,31,128,7.2,-7
CAULFIELD SOUTH,1260000,1385000,1362300,1400000,1325000,37,129,5.2,-5.4
CHADSTONE,838000,880000,955000,941500,960000,19,89,14.6,2
CHARLTON,116500,163500,135000,197500,202200,2,17,73.5,2.4
CHELSEA,583800,689700,660000,727000,790000,17,83,35.3,8.7
CHELSEA HEIGHTS,510000,545000,580000,615000,600000,18,63,17.6,-2.4
CHELTENHAM,785000,787500,882500,977500,895000,41,178,14,-8.4
CHELTENHAM EAST,670000,720100,745300,798100,771000,21,74,15.1,-3.4
